pupilid,schoolid,district,zone,tracking_assigned,tracking_actual,girl,w_correct,w_incorrect,w_missing,s_correct,s_incorrect,s_missing,a1_correct,a2_correct,a3_correct,a4_correct,a5_correct,a6_correct,a7_correct,a8_correct,spelling_correct,total_score,letter_grade,z_score,avg.yrstaught,total_math_score,d.zoneBUTERE EAST,d.zoneBUTERE WEST,d.zoneKABULA,d.zoneKHWISERO WEST,d.zoneMATUNGU,d.zoneMUMIAS EAST,d.zoneMUNICIPALITY,d.zoneSANGALO,d.zoneSOUTH WANGA
4301004,430,BUNGOMA,MUNICIPALITY,1,1,0,0,9,15,2,1,37,0,0,0,0,0,0,0,0,1,3,F,-1.91895578,NA,0,0,0,0,0,0,0,1,0,0
4321003,432,BUNGOMA,MUNICIPALITY,1,1,1,0,0,24,7,8,25,2,2,0,0,0,0,0,0,1,12,F,-1.36666338,18.8,4,0,0,0,0,0,0,1,0,0
4361009,436,BUNGOMA,MUNICIPALITY,1,1,0,0,3,21,4,1,35,1,1,0,0,0,0,0,0,1,7,F,-1.67349249,19,2,0,0,0,0,0,0,1,0,0
4361010,436,BUNGOMA,MUNICIPALITY,1,1,0,0,12,12,7,8,25,3,2,0,0,0,0,0,0,1,13,F,-1.30529756,19,5,0,0,0,0,0,0,1,0,0
4361019,436,BUNGOMA,MUNICIPALITY,1,1,0,0,3,21,6,9,25,3,3,0,0,0,0,0,0,1,13,F,-1.30529756,19,6,0,0,0,0,0,0,1,0,0
4431003,443,BUNGOMA,MUNICIPALITY,0,0,1,0,12,12,4,4,32,2,3,0,2,2,1,0,0,5,19,F,-0.93710263,12.833333,10,0,0,0,0,0,0,1,0,0
4431097,443,BUNGOMA,MUNICIPALITY,0,0,0,0,5,19,7,6,27,2,1,0,0,0,0,0,0,0,10,F,-1.48939503,12.833333,3,0,0,0,0,0,0,1,0,0
4511006,451,BUNGOMA,MUNICIPALITY,0,1,1,0,0,24,3,2,35,2,1,0,0,0,0,0,0,0,6,F,-1.73485832,NA,3,0,0,0,0,0,0,1,0,0
4511055,451,BUNGOMA,MUNICIPALITY,0,0,0,0,4,20,4,3,33,0,0,0,0,0,0,0,0,0,4,F,-1.85758996,NA,0,0,0,0,0,0,0,1,0,0
4521029,452,BUNGOMA,MUNICIPALITY,1,1,0,0,7,17,0,2,38,3,1,0,0,0,0,0,0,1,5,F,-1.79622414,16.666667,4,0,0,0,0,0,0,1,0,0
4561005,456,BUNGOMA,MUNICIPALITY,1,1,0,0,0,24,2,7,31,1,1,0,0,0,0,0,0,1,5,F,-1.79622414,11.2,2,0,0,0,0,0,0,1,0,0
4561009,456,BUNGOMA,MUNICIPALITY,1,1,0,0,0,24,0,0,40,0,0,0,0,0,0,0,0,1,1,F,-2.04168743,11.2,0,0,0,0,0,0,0,1,0,0
4561013,456,BUNGOMA,MUNICIPALITY,1,1,1,0,0,24,7,8,25,0,0,0,0,0,0,0,0,1,8,F,-1.61212667,11.2,0,0,0,0,0,0,0,1,0,0
4561015,456,BUNGOMA,MUNICIPALITY,1,1,NA,0,0,24,0,0,40,0,0,0,0,0,0,0,0,1,1,F,-2.04168743,11.2,0,0,0,0,0,0,0,1,0,0
4561034,456,BUNGOMA,MUNICIPALITY,1,1,1,0,0,24,5,10,25,2,0,0,0,0,0,0,0,1,8,F,-1.61212667,11.2,2,0,0,0,0,0,0,1,0,0
4561049,456,BUNGOMA,MUNICIPALITY,1,1,1,0,3,21,6,4,30,0,0,0,0,0,0,0,0,1,7,F,-1.67349249,11.2,0,0,0,0,0,0,0,1,0,0
4561054,456,BUNGOMA,MUNICIPALITY,1,1,1,0,0,24,15,15,10,0,0,0,0,0,0,0,0,1,16,F,-1.12120009,11.2,0,0,0,0,0,0,0,1,0,0
4561061,456,BUNGOMA,MUNICIPALITY,1,0,1,0,0,24,5,12,23,0,0,0,0,0,0,0,0,1,6,F,-1.73485832,11.2,0,0,0,0,0,0,0,1,0,0
4801001,480,BUNGOMA,SANGALO,0,0,0,0,1,23,7,9,24,3,3,3,1,1,1,0,0,2,21,D,-0.81437098,7.944444,12,0,0,0,0,0,0,0,1,0
4801062,480,BUNGOMA,SANGALO,0,0,1,0,21,3,4,11,25,2,2,1,2,0,0,0,0,0,11,F,-1.42802921,7.944444,7,0,0,0,0,0,0,0,1,0
4801075,480,BUNGOMA,SANGALO,0,0,1,0,0,24,18,12,10,3,3,2,0,0,1,0,0,0,27,D,-0.44617605,7.944444,9,0,0,0,0,0,0,0,1,0
4831035,483,BUNGOMA,SANGALO,0,0,0,0,0,24,1,3,36,0,0,0,0,0,0,0,0,0,1,F,-2.04168743,NA,0,0,0,0,0,0,0,0,1,0
4831108,483,BUNGOMA,SANGALO,0,1,0,0,12,12,0,15,25,0,0,0,0,0,0,0,0,0,0,F,-2.10305325,NA,0,0,0,0,0,0,0,0,1,0
4851023,485,BUNGOMA,SANGALO,0,0,0,0,0,24,0,2,38,0,0,0,0,0,0,0,0,0,0,F,-2.10305325,8.75,0,0,0,0,0,0,0,0,1,0
4851045,485,BUNGOMA,SANGALO,0,0,0,0,3,21,9,6,25,0,0,0,0,0,0,0,0,0,9,F,-1.55076085,8.75,0,0,0,0,0,0,0,0,1,0
4851046,485,BUNGOMA,SANGALO,0,0,0,0,0,24,8,7,25,3,3,0,2,3,0,0,0,5,24,D,-0.63027352,8.75,11,0,0,0,0,0,0,0,1,0
4851053,485,BUNGOMA,SANGALO,0,0,0,0,0,24,11,4,25,1,1,0,0,0,0,0,0,0,13,F,-1.30529756,8.75,2,0,0,0,0,0,0,0,1,0
4851103,485,BUNGOMA,SANGALO,0,0,1,0,2,22,3,4,33,1,0,0,0,0,0,0,0,0,4,F,-1.85758996,8.75,1,0,0,0,0,0,0,0,1,0
4881064,488,BUNGOMA,SANGALO,1,1,0,0,0,24,0,0,40,3,3,1,2,3,0,0,0,5,17,F,-1.05983427,NA,12,0,0,0,0,0,0,0,1,0
4921006,492,BUNGOMA,SANGALO,1,1,1,0,12,12,0,15,25,0,0,0,0,0,0,0,0,1,1,F,-2.04168743,12.8,0,0,0,0,0,0,0,0,1,0
4921023,492,BUNGOMA,SANGALO,1,1,1,0,1,23,0,2,38,0,0,0,0,0,0,0,0,1,1,F,-2.04168743,12.8,0,0,0,0,0,0,0,0,1,0
4951009,495,BUNGOMA,SANGALO,0,1,1,0,1,23,2,0,38,0,0,0,0,0,0,0,0,0,2,F,-1.9803216,NA,0,0,0,0,0,0,0,0,1,0
4951015,495,BUNGOMA,SANGALO,0,0,0,0,0,24,10,20,10,3,1,0,0,0,0,0,0,2,16,F,-1.12120009,NA,4,0,0,0,0,0,0,0,1,0
4951017,495,BUNGOMA,SANGALO,0,1,0,0,12,12,3,6,31,0,2,0,1,0,0,0,0,0,6,F,-1.73485832,NA,3,0,0,0,0,0,0,0,1,0
4951091,495,BUNGOMA,SANGALO,0,0,1,0,6,18,0,5,35,0,0,0,0,0,0,0,0,0,0,F,-2.10305325,NA,0,0,0,0,0,0,0,0,1,0
4951115,495,BUNGOMA,SANGALO,0,0,1,0,18,6,7,8,25,0,0,0,0,0,0,0,0,0,7,F,-1.67349249,NA,0,0,0,0,0,0,0,0,1,0
6681071,668,BUTERE/M,BUTERE EAST,0,0,1,0,0,24,2,1,37,0,0,0,0,0,0,0,0,0,2,F,-1.9803216,4.875,0,1,0,0,0,0,0,0,0,0
6851001,685,BUTERE/M,BUTERE EAST,1,1,0,0,0,24,1,17,22,0,0,0,0,0,0,0,0,1,2,F,-1.9803216,NA,0,1,0,0,0,0,0,0,0,0
6931047,693,BUTERE/M,BUTERE EAST,0,1,1,0,0,24,0,0,40,0,0,0,0,0,0,0,0,0,0,F,-2.10305325,18.722222,0,1,0,0,0,0,0,0,0,0
6951003,695,BUTERE/M,BUTERE EAST,1,1,0,0,0,24,7,6,27,3,2,0,0,0,0,0,0,1,13,F,-1.30529756,NA,5,1,0,0,0,0,0,0,0,0
6991011,699,BUTERE/M,BUTERE WEST,1,1,1,0,0,24,7,3,30,3,3,2,2,0,2,0,0,7,26,D,-0.50754187,NA,12,0,1,0,0,0,0,0,0,0
7081076,708,BUTERE/M,BUTERE WEST,0,0,0,0,24,0,13,17,10,0,0,0,0,0,0,0,0,0,13,F,-1.30529756,12.071429,0,0,1,0,0,0,0,0,0,0
7101059,710,BUTERE/M,BUTERE WEST,0,0,1,0,2,22,7,2,31,2,0,0,0,0,0,0,0,0,9,F,-1.55076085,NA,2,0,1,0,0,0,0,0,0,0
7341020,734,BUTERE/M,BUTERE WEST,1,0,0,0,0,24,3,5,32,3,3,3,2,0,1,1,0,9,25,D,-0.56890769,7.555556,14,0,1,0,0,0,0,0,0,0
7391003,739,BUTERE/M,BUTERE WEST,0,0,0,0,0,24,9,13,18,2,1,0,0,0,0,0,0,0,12,F,-1.36666338,9.645833,3,0,1,0,0,0,0,0,0,0
7391009,739,BUTERE/M,BUTERE WEST,0,0,0,0,4,20,2,7,31,0,0,0,0,0,0,0,0,0,2,F,-1.9803216,9.645833,0,0,1,0,0,0,0,0,0,0
7691059,769,BUTERE/M,KHWISERO WEST,0,0,0,0,0,24,11,14,15,0,0,0,0,0,0,0,0,0,11,F,-1.42802921,NA,0,0,0,0,1,0,0,0,0,0
7701013,770,BUTERE/M,KHWISERO WEST,0,0,0,0,2,22,2,0,38,0,0,0,0,0,0,0,0,0,2,F,-1.9803216,NA,0,0,0,0,1,0,0,0,0,0
7701015,770,BUTERE/M,KHWISERO WEST,0,0,0,0,5,19,0,5,35,0,0,0,0,0,0,0,0,0,0,F,-2.10305325,NA,0,0,0,0,1,0,0,0,0,0
7701016,770,BUTERE/M,KHWISERO WEST,0,0,0,0,3,21,8,7,25,0,0,0,0,0,0,0,0,0,8,F,-1.61212667,NA,0,0,0,0,1,0,0,0,0,0
7701017,770,BUTERE/M,KHWISERO WEST,0,0,0,0,0,24,1,2,37,0,0,0,0,0,0,0,0,0,1,F,-2.04168743,NA,0,0,0,0,1,0,0,0,0,0
7771060,777,BUTERE/M,KHWISERO WEST,0,0,1,0,24,0,11,4,25,2,1,0,0,0,0,0,0,0,14,F,-1.24393174,NA,3,0,0,0,1,0,0,0,0,0
7771064,777,BUTERE/M,KHWISERO WEST,0,0,1,0,24,0,5,10,25,3,3,0,0,0,0,0,0,1,12,F,-1.36666338,NA,6,0,0,0,1,0,0,0,0,0
7771094,777,BUTERE/M,KHWISERO WEST,0,1,0,0,2,22,4,3,33,3,3,1,2,0,0,0,0,1,14,F,-1.24393174,NA,9,0,0,0,1,0,0,0,0,0
7861003,786,BUTERE/M,KHWISERO WEST,0,0,0,0,0,24,0,15,25,0,0,0,0,0,0,0,0,0,0,F,-2.10305325,15.2,0,0,0,0,1,0,0,0,0,0
7861007,786,BUTERE/M,KHWISERO WEST,0,0,0,0,0,24,5,10,25,0,1,0,0,0,0,0,0,0,6,F,-1.73485832,15.2,1,0,0,0,1,0,0,0,0,0
7861013,786,BUTERE/M,KHWISERO WEST,0,0,0,0,24,0,12,3,25,0,0,0,0,0,0,0,0,0,12,F,-1.36666338,15.2,0,0,0,0,1,0,0,0,0,0
7861016,786,BUTERE/M,KHWISERO WEST,0,0,0,0,0,24,8,7,25,0,0,0,0,0,0,0,0,0,8,F,-1.61212667,15.2,0,0,0,0,1,0,0,0,0,0
7861020,786,BUTERE/M,KHWISERO WEST,0,0,0,0,24,0,25,15,0,3,1,0,0,0,0,0,0,0,29,D,-0.32344441,15.2,4,0,0,0,1,0,0,0,0,0
7861025,786,BUTERE/M,KHWISERO WEST,0,0,0,0,24,0,16,14,10,1,0,0,0,0,0,0,0,0,17,F,-1.05983427,15.2,1,0,0,0,1,0,0,0,0,0
7861031,786,BUTERE/M,KHWISERO WEST,0,0,0,0,0,24,2,2,36,2,1,0,0,0,0,0,0,0,5,F,-1.79622414,15.2,3,0,0,0,1,0,0,0,0,0
7861034,786,BUTERE/M,KHWISERO WEST,0,0,1,0,12,12,7,8,25,0,0,0,0,0,0,0,0,0,7,F,-1.67349249,15.2,0,0,0,0,1,0,0,0,0,0
7891011,789,BUTERE/M,KHWISERO WEST,1,1,1,0,0,24,7,8,25,3,1,0,0,0,0,0,0,1,12,F,-1.36666338,12.714286,4,0,0,0,1,0,0,0,0,0
7891035,789,BUTERE/M,KHWISERO WEST,1,0,1,0,0,24,0,0,40,0,0,0,0,0,0,0,0,1,1,F,-2.04168743,12.714286,0,0,0,0,1,0,0,0,0,0
7931018,793,BUTERE/M,KHWISERO WEST,0,0,0,0,1,23,3,3,34,0,0,0,0,0,0,0,0,0,3,F,-1.91895578,8.928571,0,0,0,0,1,0,0,0,0,0
7931052,793,BUTERE/M,KHWISERO WEST,0,0,1,0,0,24,3,2,35,0,0,0,0,0,1,0,0,1,5,F,-1.79622414,8.928571,1,0,0,0,1,0,0,0,0,0
8561008,856,BUTERE/M,MATUNGU,1,1,0,0,1,23,12,24,4,2,2,0,0,0,0,0,0,1,17,F,-1.05983427,1.666667,4,0,0,0,0,1,0,0,0,0
8571017,857,BUTERE/M,MATUNGU,0,0,0,0,19,5,11,29,0,1,2,0,0,0,0,0,0,0,14,F,-1.24393174,NA,3,0,0,0,0,1,0,0,0,0
